TS_PCODE,ST_PCODE,ST,DT_PCODE,DT,TS,Total,Electricity,Kerosene,Candle,Battery,Generator (private),Water mill (private),Solar system/energy,Other,Prop_Electricity,Prop_Kerosene,Prop_Candle,Prop_Battery,Prop_Generator_Private,Prop_Water_Mill_Private,Prop_Solar_System_Energy,Prop_Other
MMR001011,MMR001,Kachin,MMR001D003,Bhamo,Shwegu,16621,3571,60,6678,761,1020,19,4366,146,0.214848685398,0.00360989110162,0.40178087961,0.0457854521389,0.0613681487275,0.00114313218218,0.262679742494,0.00878406834727
MMR001012,MMR001,Kachin,MMR001D003,Bhamo,Momauk,12370,3474,38,4368,171,339,457,3498,25,0.280840743735,0.00307194826192,0.353112368634,0.0138237671787,0.0274050121261,0.0369442198868,0.282780921584,0.00202101859337
MMR001013,MMR001,Kachin,MMR001D003,Bhamo,Mansi,10554,2645,80,4266,269,413,857,2020,4,0.250615880235,0.00758006443055,0.404206935759,0.0254879666477,0.0391320826227,0.0812014402122,0.191396626871,0.000379003221527
MMR001014,MMR001,Kachin,MMR001D004,Puta-O,Puta-O,10743,982,20,4464,1933,133,617,2504,90,0.0914083589314,0.00186167737131,0.415526389277,0.179931117937,0.0123801545192,0.057432746905,0.233082006888,0.0083775481709
MMR001015,MMR001,Kachin,MMR001D004,Puta-O,Sumprabum,479,120,1,262,29,0,3,57,7,0.250521920668,0.00208768267223,0.546972860125,0.0605427974948,0.0,0.0062630480167,0.118997912317,0.0146137787056
MMR001016,MMR001,Kachin,MMR001D004,Puta-O,Machanbaw,1719,298,1,659,328,1,94,320,18,0.173356602676,0.000581733566027,0.383362420012,0.190808609657,0.000581733566027,0.0546829552065,0.186154741129,0.0104712041885
MMR001018,MMR001,Kachin,MMR001D004,Puta-O,Khaunglanhpu,1711,146,0,1289,39,1,69,2,165,0.0853302162478,0.0,0.753360607832,0.0227936879018,0.000584453535944,0.0403272939801,0.00116890707189,0.0964348334307
MMR001017,MMR001,Kachin,MMR001D004,Puta-O,Nawngmun,1212,179,1,677,80,4,98,161,12,0.147689768977,0.000825082508251,0.558580858086,0.0660066006601,0.003300330033,0.0808580858086,0.132838283828,0.00990099009901
MMR002001,MMR002,Kayah,MMR002D001,Loikaw,Loikaw,26495,17924,234,3856,569,70,450,3199,193,0.676505000944,0.00883185506699,0.145536893754,0.0214757501415,0.00264200792602,0.0169843366673,0.120739762219,0.00728439328175
MMR002002,MMR002,Kayah,MMR002D001,Loikaw,Demoso,15347,5977,1370,2940,598,107,6,4161,188,0.38945722291,0.0892682608979,0.191568384701,0.0389652700854,0.00697204665407,0.000390955887144,0.271127907734,0.0122499511305
MMR002003,MMR002,Kayah,MMR002D001,Loikaw,Hpruso,5910,1237,1257,1510,203,50,21,923,709,0.209306260575,0.21269035533,0.255499153976,0.0343485617597,0.00846023688663,0.00355329949239,0.156175972927,0.119966159052
